DATE,DJIA
2018-11-01,25380.74
2018-11-02,25270.83
2018-11-05,25461.70
2018-11-06,25635.01
2018-11-07,26180.30
2018-11-08,26191.22
2018-11-09,25989.30
2018-11-12,.
2018-11-13,25286.49
2018-11-14,25080.50
2018-11-15,25289.27
2018-11-16,25413.22
2018-11-19,25017.44
2018-11-20,24465.64
2018-11-21,24464.69
2018-11-22,.
2018-11-23,24285.95
2018-11-26,24640.24
2018-11-27,24748.73
2018-11-28,25366.43
2018-11-29,25338.84
2018-11-30,25538.46
2018-12-03,25826.43
2018-12-04,25027.07
2018-12-05,.
2018-12-06,24947.67
2018-12-07,24388.95
2018-12-10,24423.26
2018-12-11,24370.24
2018-12-12,24527.27
2018-12-13,24597.38
2018-12-14,24100.51
2018-12-17,23592.98
2018-12-18,23675.64
2018-12-19,23323.66
2018-12-20,22859.60
2018-12-21,22445.37
2018-12-24,21792.20
2018-12-25,.
2018-12-26,22878.45
2018-12-27,23138.82
2018-12-28,23062.40
2018-12-31,23327.46
2019-01-01,.
2019-01-02,23346.24
2019-01-03,22686.22
2019-01-04,23433.16
2019-01-07,23531.35
2019-01-08,23787.45
2019-01-09,23879.12
2019-01-10,24001.92
2019-01-11,23995.95
2019-01-14,23909.84
2019-01-15,24065.59
2019-01-16,24207.16
2019-01-17,24370.10
2019-01-18,24706.35
2019-01-21,.
2019-01-22,24404.48
2019-01-23,24575.62
2019-01-24,24553.24
2019-01-25,24737.20
2019-01-28,24528.22
2019-01-29,24579.96
2019-01-30,25014.86
2019-01-31,24999.67
2019-02-01,25063.89
2019-02-04,25239.37
2019-02-05,25411.52
2019-02-06,25390.30
2019-02-07,25169.53
2019-02-08,25106.33
2019-02-11,25053.11
2019-02-12,25425.76
2019-02-13,25543.27
2019-02-14,25439.39
2019-02-15,25883.25
2019-02-18,.
2019-02-19,25891.32
2019-02-20,25954.44
2019-02-21,25850.63
2019-02-22,26031.81
2019-02-25,26091.95
2019-02-26,26057.98
2019-02-27,25985.16
