president,subgroup,modeldate,startdate,enddate,pollster,grade,samplesize,population,weight,influence,approve,disapprove,adjusted_approve,adjusted_disapprove,multiversions,tracking,url,poll_id,question_id,createddate,timestamp
Donald Trump,All polls,3/3/2019,1/20/2017,1/22/2017,Morning Consult,B-,1992,rv,.9442063,0,46,37,43.56225,39.25751,"","",http://static.politico.com/9b/13/82a3baf542ae9018e5b6e1008379/170103-topline-politico-v3-kd.pdf,49249,77261,1/23/2017,09:09:21  3 Mar 2019
Donald Trump,All polls,3/3/2019,1/20/2017,1/22/2017,Gallup,B,1500,a,.2454292,0,45,45,46.18652,43.09881,"",T,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49253,77265,1/23/2017,09:09:21  3 Mar 2019
Donald Trump,All polls,3/3/2019,1/20/2017,1/24/2017,Ipsos,B+,1632,a,.224456,0,42.1,45.2,42.54288,44.03083,"",T,http://polling.reuters.com/#poll/CP3_2/,49426,77599,3/1/2017,09:09:21  3 Mar 2019
Donald Trump,All polls,3/3/2019,1/21/2017,1/23/2017,Gallup,B,1500,a,.226788,0,45,46,46.18652,44.09881,"",T,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49262,77274,1/24/2017,09:09:21  3 Mar 2019
Donald Trump,All polls,3/3/2019,1/20/2017,1/25/2017,Quinnipiac University,A-,1190,rv,1.644662,0,36,44,37.68841,42.62733,"","",https://poll.qu.edu/national/release-detail?ReleaseID=2415,49260,77272,1/26/2017,09:09:21  3 Mar 2019
Donald Trump,All polls,3/3/2019,1/21/2017,1/25/2017,Ipsos,B+,1651,a,.2099484,0,42.3,45.8,42.74288,44.63083,"",T,http://polling.reuters.com/#poll/CP3_2/,49425,77598,3/1/2017,09:09:21  3 Mar 2019
Donald Trump,All polls,3/3/2019,1/22/2017,1/24/2017,Rasmussen Reports/Pulse Opinion Research,C+,1500,lv,.2203903,0,57,43,51.54671,43.88497,"",T,http://www.rasmussenreports.com/public_content/politics/trump_administration/trump_approval_index_history,49266,77278,1/25/2017,09:09:21  3 Mar 2019
Donald Trump,All polls,3/3/2019,1/22/2017,1/24/2017,Gallup,B,1500,a,.2120474,0,46,45,47.18652,43.09881,"",T,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49236,77248,1/25/2017,09:09:21  3 Mar 2019
Donald Trump,All polls,3/3/2019,1/23/2017,1/25/2017,Gallup,B,1500,a,.2001678,0,46,45,47.18652,43.09881,"",T,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49245,77257,1/26/2017,09:09:21  3 Mar 2019
Donald Trump,All polls,3/3/2019,1/23/2017,1/25/2017,Rasmussen Reports/Pulse Opinion Research,C+,1500,lv,.20477,0,59,41,53.54671,41.88497,"",T,http://www.rasmussenreports.com/public_content/politics/trump_administration/trump_approval_index_history,49247,77259,1/26/2017,09:09:21  3 Mar 2019
